"name","category_id","instruction_id","duration","difficulty_level_id","total_questions","total_marks","test_type_id","status","publish_start_time","publish_end_time","created_by","created_date","updated_by","updated_date","test_template_id","id","test_desc","test_code","disable_allow_active_link_status","allow_test_accesscode_status","assign_group_ids","report_type","report_sort_by","learning_center_id","test_delete_status","test_report_status","no_time_limit","is_sharing","send_credential_to_mail","send_link_to_mail","website_name","available_on_website","test_template_name_ref"
"Math Diagnostic- Algebra2 T102","54","40",NULL,"2","106","106","1",True,NULL,NULL,"72","2021-09-28","1","2023-03-30","2",564,NULL,"0bed1388f3",True,False,NULL,"math_diagnostic","subtopic",9,False,True,True,True,False,True,"",False,NULL
"Math Diagnostic- Grade 7 T101","54","40",NULL,"2","74","74","1",True,NULL,NULL,"72","2021-09-10","1","2023-03-30","2",543,NULL,"101e105c6f",False,False,NULL,"math_diagnostic","subtopic",9,False,True,True,True,False,True,"",False,NULL
"Math Diagnostic- Grade 3 T101","54","40",NULL,"2","50","50","1",True,NULL,NULL,"72","2021-08-08","1","2023-07-27","2",534,NULL,"539a843fa8",False,False,NULL,"math_diagnostic","subtopic",9,False,True,True,True,False,True,"",True,NULL
"Math Diagnostic- Grade 6 T102","54","40",NULL,"2","84","84","1",True,NULL,NULL,"72","2021-09-22","1","2023-07-26","2",560,NULL,"b6dbad0394",False,False,NULL,"math_diagnostic","subtopic",9,False,True,True,True,False,True,"",False,NULL
"Language Diagnostic- Grade 11 T12","53","40",NULL,"2","14","14","1",True,NULL,NULL,"72","2021-09-19","1","2022-04-15","1",554,NULL,"b75bef2306",False,False,NULL,"language_arts_diagnostic","subtopic",9,False,True,True,True,NULL,NULL,NULL,False,NULL
"Reading Diagnostic- T101","55","40",NULL,"2","141","124","1",True,NULL,NULL,"72","2021-09-17","1","2023-04-10","3",549,NULL,"43a6ba0d85",False,False,NULL,"reading_diagnostic","subtopic",9,False,True,True,True,False,True,"",False,NULL
"Math Diagnostic- Grade 3 T102","54","40",NULL,"2","50","50","1",True,NULL,NULL,"72","2021-09-22","1","2023-07-26","2",557,NULL,"34cb68817b",NULL,NULL,NULL,"math_diagnostic","subtopic",9,False,True,True,True,False,True,"",False,NULL
"PSAT  nikita 3 aug","54","40","134","2","48","48","1",True,NULL,NULL,"56","2023-08-03","1","2023-08-03","7",805,"dfsdf","c8053a986a",True,NULL,NULL,"language_arts_diagnostic","subtopic",9,False,True,NULL,False,False,True,"",False,"3"
"PSAT test 2 4 aug Nikita","54","39","134","2","54","54","1",False,NULL,NULL,"56","2023-08-04","1","2023-08-05","7",808,"","f013fcd131",True,NULL,NULL,"language_arts_diagnostic","subtopic",9,False,True,NULL,False,False,True,"",False,"4"
"PSAt 4 aug nikita test 1","54","39","134","2","54","54","1",True,NULL,NULL,"56","2023-08-04","1","2023-08-04","7",807,"test","b8d08df376",NULL,NULL,NULL,"language_arts_diagnostic","subtopic",9,False,True,NULL,False,False,True,"",False,"4"
